id,Edificio,P1a,P1b,P2,P3,P4,P5a,P5b,P5c,P5d,P6,P7,P8,P9,P10a,P10b,P10c,P10d,P11,P12,P13,P14,P15,P16
119,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2
120,9,2,3,3,3,3,2,3,1,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2
121,9,2,3,2,3,3,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,2,2
122,9,1,1,2,1,1,2,1,2,3,2,2,2,2,2,3,2,3,3,3,2,1,2,2
123,9,2,3,2,3,3,2,3,3,1,3,3,2,1,1,1,2,1,2,3,2,2,2,2
124,9,3,3,3,3,3,1,1,2,2,3,3,3,2,3,2,2,2,3,4,2,1,2,2
125,9,2,3,3,3,3,3,2,2,2,3,3,2,2,2,2,1,1,3,3,3,1,2,2
126,9,3,3,0,3,3,2,1,0,1,3,2,3,1,2,2,0,0,3,3,3,1,2,2
127,9,3,3,3,2,1,2,2,2,1,2,2,2,1,1,1,1,1,3,3,2,2,1,1
128,9,1,1,3,3,3,3,3,1,1,3,3,3,2,2,3,3,2,3,3,4,3,2,2
129,9,3,3,3,3,3,2,2,0,1,3,3,3,1,1,1,2,1,3,3,3,3,2,2
130,9,1,3,1,2,1,2,0,0,0,3,3,2,1,1,0,0,0,3,3,2,3,2,2
131,9,2,3,2,3,3,3,2,2,2,1,3,2,1,1,1,2,2,3,3,3,1,2,2
132,9,3,3,3,3,3,3,3,1,1,3,3,3,2,2,3,3,2,2,2,3,1,2,1
133,9,3,3,3,3,3,3,3,3,1,0,2,3,1,1,1,2,2,3,3,3,1,2,2
134,9,3,3,2,2,3,2,3,2,1,3,2,3,3,2,3,2,2,3,4,3,3,2,2
135,8,2,3,2,2,3,2,2,2,2,2,2,2,3,3,2,3,0,2,3,3,2,2,2
136,8,2,3,2,2,3,2,2,2,2,2,2,0,2,2,2,2,2,2,3,3,2,2,2
137,8,3,3,4,2,3,2,2,2,2,3,2,0,2,2,2,2,2,0,0,2,1,2,2
138,8,2,3,2,2,0,2,2,2,2,3,2,0,2,2,2,2,2,3,3,2,1,2,2
139,8,3,3,2,2,3,2,2,2,2,2,1,2,2,2,2,3,2,1,2,2,2,2,2
140,8,2,3,4,2,1,2,2,2,2,2,2,3,2,2,2,2,3,2,4,2,1,1,2
141,8,2,3,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2
142,8,2,3,2,2,3,2,2,2,2,3,2,0,3,1,2,2,3,2,3,3,2,2,2
143,8,2,3,2,2,3,3,2,2,2,0,2,2,2,2,2,2,0,3,2,2,2,0,2
144,8,2,3,2,2,3,2,3,2,2,2,2,3,2,2,1,1,0,2,4,2,2,2,2
145,8,1,1,2,2,0,2,2,0,3,2,1,3,1,1,1,1,1,2,3,2,1,2,1
146,8,3,3,3,3,3,3,3,1,1,3,3,3,2,2,2,3,3,2,2,3,2,2,2
147,8,2,3,2,0,3,3,2,1,1,2,2,2,3,2,2,2,0,3,3,3,2,2,2
148,8,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,3,2,3,1,2,2,1
149,8,2,3,2,2,3,2,2,2,2,2,2,0,0,2,2,2,2,2,3,3,1,2,2
150,8,2,3,3,3,1,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,2,2,2
151,8,2,3,2,2,1,2,2,3,3,3,2,2,1,1,2,3,3,3,3,2,3,2,2
152,8,2,3,1,1,1,3,2,3,3,2,2,3,1,1,1,3,3,3,3,2,3,2,2
153,8,2,1,1,1,1,1,2,2,3,1,2,1,1,2,1,1,3,3,3,1,2,2,2
154,8,2,1,2,2,1,2,2,2,3,3,3,3,1,1,1,3,3,3,4,2,2,2,2
155,8,3,3,2,2,3,2,2,3,3,3,3,3,2,2,2,3,3,3,4,3,3,2,2
156,8,3,3,1,1,1,1,1,3,3,2,3,3,1,1,1,2,3,3,3,1,3,2,2
157,8,2,1,1,2,1,1,2,3,3,1,3,3,1,1,1,2,1,3,4,2,3,2,2
158,8,3,3,1,3,1,3,3,1,1,2,3,3,2,3,3,3,3,2,3,2,3,2,2
159,8,2,1,2,2,1,2,2,2,2,3,3,2,1,1,2,1,2,1,2,2,3,2,2
160,8,3,0,2,2,1,3,3,2,1,2,2,3,1,1,1,2,2,3,3,2,2,2,2
161,8,2,3,2,2,3,3,2,2,1,3,3,3,2,3,2,3,3,3,3,3,3,2,2
162,8,1,3,1,2,1,2,3,3,3,3,1,3,1,2,2,2,2,2,0,2,3,1,2
163,8,1,1,1,1,1,3,2,1,2,2,3,2,3,2,3,2,3,3,3,2,3,2,2
164,7,3,3,3,3,3,1,2,2,2,3,3,2,1,1,1,2,2,3,3,3,3,2,2
165,7,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1
166,7,3,3,1,3,3,3,3,2,1,3,3,3,3,3,3,3,3,3,3,3,1,2,2
167,7,3,3,3,3,3,1,2,3,3,1,1,2,2,1,1,1,1,3,4,2,3,1,2
168,7,1,1,1,1,1,1,1,2,3,3,2,1,2,3,2,3,3,3,3,2,1,2,1
169,7,3,3,3,3,3,2,3,2,1,3,3,3,1,1,1,2,3,3,3,3,1,2,2
170,7,2,1,2,3,3,3,2,1,1,2,2,3,3,2,3,3,3,3,3,2,1,2,2
171,7,3,1,3,3,3,3,3,1,3,3,1,3,2,3,2,3,2,3,3,3,1,2,2
172,7,3,3,3,3,3,3,2,3,1,2,2,3,2,1,2,2,3,3,3,3,3,2,2
173,7,3,3,2,3,3,2,2,3,1,3,3,2,0,0,0,0,0,3,3,2,3,2,2
174,7,3,3,3,3,3,2,3,3,1,2,2,3,2,0,0,0,0,3,3,3,1,2,2
175,7,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,7,1,3,3,3,3,1,3,1,1,2,1,3,1,1,1,1,1,3,3,3,2,2,2
177,7,3,3,3,3,3,2,3,3,1,2,3,3,2,2,3,3,2,3,3,2,2,2,2
178,7,1,3,2,2,1,3,2,1,3,1,1,1,2,3,2,2,3,3,3,1,1,2,2
179,7,3,3,1,3,3,3,3,3,1,3,1,3,3,2,2,2,1,3,4,3,1,2,2
180,7,2,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2
181,7,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,2,2,3,3,3,3,2,2
182,7,2,1,2,1,1,2,2,3,3,3,3,2,3,2,2,1,2,3,3,3,3,2,2
183,7,3,3,2,3,3,2,3,3,2,3,3,2,2,3,2,2,2,3,3,3,1,2,2
184,7,3,3,3,3,3,2,3,2,2,3,3,2,2,2,3,3,2,2,3,3,3,2,2
185,7,2,3,2,1,1,3,3,2,2,3,3,2,2,3,2,2,3,2,3,3,3,2,2
186,7,1,1,1,1,1,2,2,3,3,2,2,1,1,3,2,2,3,3,4,1,3,2,2
